Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung,ISIN
MTX,MTU AERO ENGINES HOLDING AG,Industrie,Aktien,"14.669.052,00","0,16","14.669.052,00","41.438,00","354,00",Deutschland,Xetra,EUR,DE000A0D9PT0
REP,REPSOL SA,Energie,Aktien,"14.425.558,91","0,16","14.425.558,91","884.461,00","16,31",Spanien,Bolsa De Madrid,EUR,ES0173516115
A5G,AIB GROUP PLC,Financials,Aktien,"14.319.105,22","0,15","14.319.105,22","1.610.698,00","8,89",Irland,Irish Stock Exchange - All Market,EUR,IE00BF0L3536
NSIS B,NOVOZYMES B,Materialien,Aktien,"13.950.840,46","0,15","13.950.840,46","263.944,00","52,86",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060336014
PHIA,KONINKLIJKE PHILIPS NV,Gesundheitsversorgung,Aktien,"13.826.496,00","0,15","13.826.496,00","601.152,00","23,00",Niederlande,Euronext Amsterdam,EUR,NL0000009538
NXT,NEXT PLC,Zyklische Konsumgüter ,Aktien,"13.630.634,70","0,15","13.630.634,70","87.725,00","155,38",Vereinigtes Königreich,London Stock Exchange,GBP,GB0032089863
ACS,ACS ACTIVIDADES DE CONSTRUCCION Y,Industrie,Aktien,"13.578.251,25","0,15","13.578.251,25","157.429,00","86,25",Spanien,Bolsa De Madrid,EUR,ES0167050915
BMPS,BANCA MONTE DEI PASCHI DI SIENA SP,Financials,Aktien,"13.491.508,47","0,15","13.491.508,47","1.689.395,00","7,99",Italien,Borsa Italiana,EUR,IT0005508921
SAB,BANCO DE SABADELL SA,Financials,Aktien,"13.459.309,63","0,14","13.459.309,63","4.093.464,00","3,29",Spanien,Bolsa De Madrid,EUR,ES0113860A34
ABN,ABN AMRO BANK NV,Financials,Aktien,"13.447.535,50","0,14","13.447.535,50","452.018,00","29,75",Niederlande,Euronext Amsterdam,EUR,NL0011540547
GMAB,GENMAB,Gesundheitsversorgung,Aktien,"13.287.510,98","0,14","13.287.510,98","49.837,00","266,62",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010272202
AENA,AENA SME SA,Industrie,Aktien,"13.174.112,25","0,14","13.174.112,25","571.545,00","23,05",Spanien,Bolsa De Madrid,EUR,ES0105046017
IHG,INTERCONTINENTAL HOTELS GROUP PLC,Zyklische Konsumgüter ,Aktien,"13.137.223,33","0,14","13.137.223,33","117.401,00","111,90",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BHJYC057
VNA,VONOVIA SE,Immobilien,Aktien,"13.022.715,24","0,14","13.022.715,24","543.519,00","23,96",Deutschland,Xetra,EUR,DE000A1ML7J1
DSY,DASSAULT SYSTEMES,IT,Aktien,"12.720.944,08","0,14","12.720.944,08","552.604,00","23,02",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0014003TT8
HBAN,HELVETIA BALOISE HOLDING N AG,Financials,Aktien,"12.468.611,83","0,13","12.468.611,83","59.324,00","210,18",Schweiz,SIX Swiss Exchange,CHF,CH0466642201
PKO,POWSZECHNA KASA OSZCZEDNOSCI BANK,Financials,Aktien,"12.428.482,20","0,13","12.428.482,20","652.338,00","19,05",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLPKO0000016
MT,ARCELORMITTAL SA,Materialien,Aktien,"12.246.445,44","0,13","12.246.445,44","321.936,00","38,04",Frankreich,Euronext Amsterdam,EUR,LU1598757687
NN,NN GROUP NV,Financials,Aktien,"12.222.759,28","0,13","12.222.759,28","193.766,00","63,08",Niederlande,Euronext Amsterdam,EUR,NL0010773842
SGSN,SGS SA,Industrie,Aktien,"12.219.605,43","0,13","12.219.605,43","130.319,00","93,77",Schweiz,SIX Swiss Exchange,CHF,CH1256740924
LGEN,LEGAL AND GENERAL GROUP PLC,Financials,Aktien,"12.162.727,63","0,13","12.162.727,63","4.390.796,00","2,77",Vereinigtes Königreich,London Stock Exchange,GBP,GB0005603997
SAAB B,SAAB CLASS B,Industrie,Aktien,"12.004.059,84","0,13","12.004.059,84","257.743,00","46,57",Schweden,Nasdaq Omx Nordic,SEK,SE0021921269
WRT1V,WARTSILA,Industrie,Aktien,"11.851.377,70","0,13","11.851.377,70","378.155,00","31,34",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009003727
HNR1,HANNOVER RUECK,Financials,Aktien,"11.851.833,60","0,13","11.851.833,60","46.224,00","256,40",Deutschland,Xetra,EUR,DE0008402215
HLMA,HALMA PLC,IT,Aktien,"11.640.855,41","0,13","11.640.855,41","287.239,00","40,53",Vereinigtes Königreich,London Stock Exchange,GBP,GB0004052071
SCMN,SWISSCOM AG,Kommunikation,Aktien,"11.598.591,13","0,12","11.598.591,13","19.599,00","591,79",Schweiz,SIX Swiss Exchange,CHF,CH0008742519
KPN,KONINKLIJKE KPN NV,Kommunikation,Aktien,"11.511.739,20","0,12","11.511.739,20","2.961.600,00","3,89",Niederlande,Euronext Amsterdam,EUR,NL0000009082
BIRG,BANK OF IRELAND GROUP PLC,Financials,Aktien,"11.512.034,50","0,12","11.512.034,50","715.700,00","16,09",Irland,Irish Stock Exchange - All Market,EUR,IE00BD1RP616
LOGN,LOGITECH INTERNATIONAL SA,IT,Aktien,"11.448.691,29","0,12","11.448.691,29","111.929,00","102,28",Schweiz,SIX Swiss Exchange,CHF,CH0025751329
MRK,MERCK,Gesundheitsversorgung,Aktien,"11.443.920,00","0,12","11.443.920,00","98.400,00","116,30",Deutschland,Xetra,EUR,DE0006599905
STMMI,STMICROELECTRONICS NV,IT,Aktien,"11.394.226,17","0,12","11.394.226,17","511.985,00","22,25",Frankreich,Borsa Italiana,EUR,NL0000226223
BPE,BPER BANCA,Financials,Aktien,"11.326.258,11","0,12","11.326.258,11","1.059.519,00","10,69",Italien,Borsa Italiana,EUR,IT0000066123
RI,PERNOD RICARD SA,Nichtzyklische Konsumgüter,Aktien,"11.200.656,48","0,12","11.200.656,48","152.764,00","73,32",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120693
INF,INFORMA PLC,Kommunikation,Aktien,"10.891.086,07","0,12","10.891.086,07","1.023.958,00","10,64",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BMJ6DW54
BAMI,BANCO BPM,Financials,Aktien,"10.863.303,72","0,12","10.863.303,72","879.976,00","12,35",Italien,Borsa Italiana,EUR,IT0005218380
SHL,SIEMENS HEALTHINEERS AG,Gesundheitsversorgung,Aktien,"10.736.623,53","0,12","10.736.623,53","249.747,00","42,99",Deutschland,Xetra,EUR,DE000SHL1006
TEF,TELEFONICA SA,Kommunikation,Aktien,"10.692.360,96","0,12","10.692.360,96","2.931.020,00","3,65",Spanien,Bolsa De Madrid,EUR,ES0178430E18
EQNR,EQUINOR,Energie,Aktien,"10.637.196,66","0,11","10.637.196,66","546.727,00","19,46",Norwegen,Oslo Bors Asa,NOK,NO0010096985
ESSITY B,ESSITY CLASS B,Nichtzyklische Konsumgüter,Aktien,"10.579.456,76","0,11","10.579.456,76","443.167,00","23,87",Schweden,Nasdaq Omx Nordic,SEK,SE0009922164
BAER,JULIUS BAER GRUPPE AG,Financials,Aktien,"10.146.181,90","0,11","10.146.181,90","160.207,00","63,33",Schweiz,SIX Swiss Exchange,CHF,CH0102484968
GBP,GBP CASH,Cash und/oder Derivate,Geldmarkt,"10.033.073,37","0,11","10.033.073,37","8.768.818,00","114,42",Vereinigtes Königreich,-,GBP,
ANTO,ANTOFAGASTA PLC,Materialien,Aktien,"10.009.720,27","0,11","10.009.720,27","299.603,00","33,41",Vereinigtes Königreich,London Stock Exchange,GBP,GB0000456144
PKN,ORLEN SA,Energie,Aktien,"9.996.068,05","0,11","9.996.068,05","454.783,00","21,98",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLPKN0000018
FBK,FINECOBANK BANCA FINECO,Financials,Aktien,"9.960.929,28","0,11","9.960.929,28","477.056,00","20,88",Italien,Borsa Italiana,EUR,IT0000072170
TRN,TERNA RETE ELETTRICA NAZIONALE,Versorger,Aktien,"9.900.395,64","0,11","9.900.395,64","1.121.985,00","8,82",Italien,Borsa Italiana,EUR,IT0003242622
UPM,UPM-KYMMENE,Materialien,Aktien,"9.820.913,08","0,11","9.820.913,08","409.546,00","23,98",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009005987
MONC,MONCLER,Zyklische Konsumgüter ,Aktien,"9.765.121,00","0,11","9.765.121,00","172.834,00","56,50",Italien,Borsa Italiana,EUR,IT0004965148
CLNX,CELLNEX TELECOM SA,Kommunikation,Aktien,"9.706.883,40","0,10","9.706.883,40","379.620,00","25,57",Spanien,Bolsa De Madrid,EUR,ES0105066007
SN.,SMITH AND NEPHEW PLC,Gesundheitsversorgung,Aktien,"9.684.734,72","0,10","9.684.734,72","677.692,00","14,29",Vereinigtes Königreich,London Stock Exchange,GBP,GB0009223206
BT.A,BT GROUP PLC,Kommunikation,Aktien,"9.639.966,42","0,10","9.639.966,42","4.785.712,00","2,01",Vereinigtes Königreich,London Stock Exchange,GBP,GB0030913577
SCHP,SCHINDLER HOLDING PAR AG,Industrie,Aktien,"9.601.688,65","0,10","9.601.688,65","31.284,00","306,92",Schweiz,SIX Swiss Exchange,CHF,CH0024638196
ALFA,ALFA LAVAL,Industrie,Aktien,"9.582.390,20","0,10","9.582.390,20","225.282,00","42,54",Schweden,Nasdaq Omx Nordic,SEK,SE0000695876
DSFIR,DSM FIRMENICH AG,Materialien,Aktien,"9.557.562,60","0,10","9.557.562,60","140.346,00","68,10",Niederlande,Euronext Amsterdam,EUR,CH1216478797
LISP,CHOCOLADEFABRIKEN LINDT & SPRUENGL,Nichtzyklische Konsumgüter,Aktien,"9.505.052,48","0,10","9.505.052,48","769,00","12.360,21",Schweiz,SIX Swiss Exchange,CHF,CH0010570767
EPI A,EPIROC CLASS A,Industrie,Aktien,"9.388.034,89","0,10","9.388.034,89","480.485,00","19,54",Schweden,Nasdaq Omx Nordic,SEK,SE0015658109
BOL,BOLIDEN,Materialien,Aktien,"9.372.844,98","0,10","9.372.844,98","213.865,00","43,83",Schweden,Nasdaq Omx Nordic,SEK,SE0020050417
KRZ,KERRY GROUP PLC,Nichtzyklische Konsumgüter,Aktien,"9.346.508,60","0,10","9.346.508,60","123.959,00","75,40",Irland,Irish Stock Exchange - All Market,EUR,IE0004906560
SGE,THE SAGE GROUP PLC,IT,Aktien,"9.100.720,26","0,10","9.100.720,26","741.627,00","12,27",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B8C3BL03
EN,BOUYGUES SA,Industrie,Aktien,"9.069.031,36","0,10","9.069.031,36","210.272,00","43,13",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120503
FGR,EIFFAGE SA,Industrie,Aktien,"9.039.480,30","0,10","9.039.480,30","75.771,00","119,30",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000130452
VACN,VAT GROUP AG,Industrie,Aktien,"9.033.481,29","0,10","9.033.481,29","21.501,00","420,14",Schweiz,SIX Swiss Exchange,CHF,CH0311864901
COLO B,COLOPLAST B,Gesundheitsversorgung,Aktien,"8.856.444,23","0,10","8.856.444,23","117.584,00","75,32",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060448595
SRG,SNAM,Versorger,Aktien,"8.851.096,44","0,10","8.851.096,44","1.586.218,00","5,58",Italien,Borsa Italiana,EUR,IT0003153415
STMN,STRAUMANN HOLDING AG,Gesundheitsversorgung,Aktien,"8.759.957,05","0,09","8.759.957,05","89.130,00","98,28",Schweiz,SIX Swiss Exchange,CHF,CH1175448666
KRX,KINGSPAN GROUP PLC,Industrie,Aktien,"8.758.997,50","0,09","8.758.997,50","118.525,00","73,90",Irland,Irish Stock Exchange - All Market,EUR,IE0004927939
RTO,RENTOKIL INITIAL PLC,Industrie,Aktien,"8.714.811,48","0,09","8.714.811,48","1.784.181,00","4,88",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B082RF11
IAG,INTERNATIONAL AIRLINES GROUP SA,Industrie,Aktien,"8.386.575,45","0,09","8.386.575,45","1.900.880,00","4,41",Spanien,London Stock Exchange,GBP,ES0177542018
EDP,EDP ENERGIAS DE PORTUGAL SA,Versorger,Aktien,"8.336.461,14","0,09","8.336.461,14","2.205.413,00","3,78",Portugal,Nyse Euronext - Euronext Lisbon,EUR,PTEDP0AM0009
HEN3,HENKEL & KGAA PREF AG,Nichtzyklische Konsumgüter,Aktien,"8.307.117,00","0,09","8.307.117,00","120.393,00","69,00",Deutschland,Xetra,EUR,DE0006048432
SOON,SONOVA HOLDING AG,Gesundheitsversorgung,Aktien,"8.061.288,41","0,09","8.061.288,41","37.683,00","213,92",Schweiz,SIX Swiss Exchange,CHF,CH0012549785
SPSN,SWISS PRIME SITE AG,Immobilien,Aktien,"7.932.440,08","0,09","7.932.440,08","63.300,00","125,31",Schweiz,SIX Swiss Exchange,CHF,CH0008038389
BESI,BE SEMICONDUCTOR INDUSTRIES NV,IT,Aktien,"7.865.902,25","0,08","7.865.902,25","56.005,00","140,45",Niederlande,Euronext Amsterdam,EUR,NL0012866412
CARL B,CARLSBERG AS CL B,Nichtzyklische Konsumgüter,Aktien,"7.810.574,66","0,08","7.810.574,66","72.545,00","107,67",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010181759
ELE,ENDESA SA,Versorger,Aktien,"7.661.148,09","0,08","7.661.148,09","251.763,00","30,43",Spanien,Bolsa De Madrid,EUR,ES0130670112
CNA,CENTRICA PLC,Versorger,Aktien,"7.625.504,55","0,08","7.625.504,55","3.978.880,00","1,92",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B033F229
ENX,EURONEXT NV,Financials,Aktien,"7.579.311,00","0,08","7.579.311,00","60.878,00","124,50",Frankreich,Nyse Euronext - Euronext Paris,EUR,NL0006294274
KNIN,KUEHNE UND NAGEL INTERNATIONAL AG,Industrie,Aktien,"7.575.788,64","0,08","7.575.788,64","41.839,00","181,07",Schweiz,SIX Swiss Exchange,CHF,CH0025238863
BG,BAWAG GROUP AG,Financials,Aktien,"7.434.647,50","0,08","7.434.647,50","60.691,00","122,50",Österreich,Wiener Boerse Ag,EUR,AT0000BAWAG2
URW,UNIBAIL RODAMCO WE STAPLED UNITS,Immobilien,Aktien,"7.390.868,76","0,08","7.390.868,76","81.147,00","91,08",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0013326246
PST,POSTE ITALIANE,Financials,Aktien,"7.340.232,05","0,08","7.340.232,05","356.495,00","20,59",Italien,Borsa Italiana,EUR,IT0003796171
AC,ACCOR SA,Zyklische Konsumgüter ,Aktien,"7.290.166,81","0,08","7.290.166,81","160.541,00","45,41",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120404
SGRO,SEGRO REIT PLC,Immobilien,Aktien,"7.185.969,31","0,08","7.185.969,31","915.521,00","7,85",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B5ZN1N88
AKZA,AKZO NOBEL NV,Materialien,Aktien,"7.166.140,80","0,08","7.166.140,80","132.510,00","54,08",Niederlande,Euronext Amsterdam,EUR,NL0013267909
UU.,UNITED UTILITIES GROUP PLC,Versorger,Aktien,"7.154.638,84","0,08","7.154.638,84","532.178,00","13,44",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B39J2M42
METSO,METSO CORPORATION,Industrie,Aktien,"7.073.639,28","0,08","7.073.639,28","482.184,00","14,67",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009014575
ADM,ADMIRAL GROUP PLC,Financials,Aktien,"7.027.545,77","0,08","7.027.545,77","200.196,00","35,10",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B02J6398
AGS,AGEAS SA,Financials,Aktien,"6.978.698,30","0,08","6.978.698,30","122.326,00","57,05",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0974264930
SY1,SYMRISE AG,Materialien,Aktien,"6.967.766,40","0,07","6.967.766,40","103.687,00","67,20",Deutschland,Xetra,EUR,DE000SYM9999
KOG,KONGSBERG GRUPPEN,Industrie,Aktien,"6.948.152,41","0,07","6.948.152,41","331.935,00","20,93",Norwegen,Oslo Bors Asa,NOK,NO0013536151
SMIN,SMITHS GROUP PLC,Industrie,Aktien,"6.931.980,33","0,07","6.931.980,33","258.468,00","26,82",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B1WY2338
BKT,BANKINTER SA,Financials,Aktien,"6.811.031,25","0,07","6.811.031,25","496.250,00","13,73",Spanien,Bolsa De Madrid,EUR,ES0113679I37
MOWI,MOWI,Nichtzyklische Konsumgüter,Aktien,"6.792.705,66","0,07","6.792.705,66","340.253,00","19,96",Norwegen,Oslo Bors Asa,NOK,NO0003054108
BVI,BUREAU VERITAS SA,Industrie,Aktien,"6.790.611,60","0,07","6.790.611,60","263.202,00","25,80",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0006174348
PZU,PZU SA,Financials,Aktien,"6.744.346,54","0,07","6.744.346,54","441.805,00","15,27",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLPZU0000011
MAERSK B,A P MOLLER MAERSK B,Industrie,Aktien,"6.692.343,71","0,07","6.692.343,71","3.544,00","1.888,36",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010244508
QIA,QIAGEN NV,Gesundheitsversorgung,Aktien,"6.662.843,40","0,07","6.662.843,40","169.538,00","39,30",Deutschland,Deutsche Börse AG,EUR,NL0015002CX3
DPLM,DIPLOMA PLC,Industrie,Aktien,"6.573.056,45","0,07","6.573.056,45","104.832,00","62,70",Vereinigtes Königreich,London Stock Exchange,GBP,GB0001826634
FME,FRESENIUS MEDICAL CARE AG,Gesundheitsversorgung,Aktien,"6.568.492,46","0,07","6.568.492,46","164.459,00","39,94",Deutschland,Xetra,EUR,DE0005785802
CCH,COCA COLA HBC AG,Nichtzyklische Konsumgüter,Aktien,"6.548.600,14","0,07","6.548.600,14","156.806,00","41,76",Vereinigtes Königreich,London Stock Exchange,GBP,CH0198251305
BEI,BEIERSDORF AG,Nichtzyklische Konsumgüter,Aktien,"6.491.552,34","0,07","6.491.552,34","69.937,00","92,82",Deutschland,Xetra,EUR,DE0005200000
BEAN,BELIMO N AG,Industrie,Aktien,"6.485.581,45","0,07","6.485.581,45","7.482,00","866,82",Schweiz,SIX Swiss Exchange,CHF,CH1101098163
EVO,EVOLUTION,Zyklische Konsumgüter ,Aktien,"6.478.187,85","0,07","6.478.187,85","111.803,00","57,94",Schweden,Nasdaq Omx Nordic,SEK,SE0012673267
PEO,BANK PEKAO SA,Financials,Aktien,"6.472.820,92","0,07","6.472.820,92","134.460,00","48,14",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLPEKAO00016
WEIR,WEIR GROUP PLC,Industrie,Aktien,"6.431.139,60","0,07","6.431.139,60","194.087,00","33,14",Vereinigtes Königreich,London Stock Exchange,GBP,GB0009465807
G1A,GEA GROUP AG,Industrie,Aktien,"6.426.567,00","0,07","6.426.567,00","115.794,00","55,50",Deutschland,Xetra,EUR,DE0006602006
CA,CARREFOUR SA,Nichtzyklische Konsumgüter,Aktien,"6.403.448,93","0,07","6.403.448,93","471.015,00","13,60",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120172
ORSTED,ORSTED A/S,Versorger,Aktien,"6.353.074,71","0,07","6.353.074,71","348.286,00","18,24",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060094928
ITRK,INTERTEK GROUP PLC,Industrie,Aktien,"6.344.184,28","0,07","6.344.184,28","125.051,00","50,73",Vereinigtes Königreich,London Stock Exchange,GBP,GB0031638363
NESTE,NESTE,Energie,Aktien,"6.343.374,96","0,07","6.343.374,96","332.462,00","19,08",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009013296
FORTUM,FORTUM,Versorger,Aktien,"6.318.884,50","0,07","6.318.884,50","353.900,00","17,86",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009007132
STJ,ST JAMESS PLACE PLC,Financials,Aktien,"6.299.640,70","0,07","6.299.640,70","402.473,00","15,65",Vereinigtes Königreich,London Stock Exchange,GBP,GB0007669376
BNZL,BUNZL,Industrie,Aktien,"6.263.785,65","0,07","6.263.785,65","253.919,00","24,67",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B0744B38
NHY,NORSK HYDRO,Materialien,Aktien,"6.254.740,65","0,07","6.254.740,65","990.624,00","6,31",Norwegen,Oslo Bors Asa,NOK,NO0005052605
SVT,SEVERN TRENT PLC,Versorger,Aktien,"6.197.333,84","0,07","6.197.333,84","199.794,00","31,02",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B1FH8J72
MRO,MELROSE INDUSTRIES PLC,Industrie,Aktien,"6.156.150,84","0,07","6.156.150,84","948.928,00","6,49",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BNGDN821
SPIE,SPIE SA,Industrie,Aktien,"6.135.564,80","0,07","6.135.564,80","132.232,00","46,40",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0012757854
ALO,ALSTOM SA,Industrie,Aktien,"6.076.394,55","0,07","6.076.394,55","258.021,00","23,55",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010220475
SKA B,SKANSKA B,Industrie,Aktien,"6.073.835,01","0,07","6.073.835,01","268.974,00","22,58",Schweden,Nasdaq Omx Nordic,SEK,SE0000113250
KGH,KGHM POLSKA MIEDZ SA,Materialien,Aktien,"6.035.283,67","0,06","6.035.283,67","105.592,00","57,16",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLKGHM000017
AGN,AEGON LTD,Financials,Aktien,"6.012.686,84","0,06","6.012.686,84","971.983,00","6,19",Niederlande,Euronext Amsterdam,EUR,BMG0112X1056
SKF B,SKF B,Industrie,Aktien,"5.994.756,86","0,06","5.994.756,86","263.642,00","22,74",Schweden,Nasdaq Omx Nordic,SEK,SE0000108227
ASRNL,ASR NEDERLAND NV,Financials,Aktien,"5.985.485,56","0,06","5.985.485,56","102.386,00","58,46",Niederlande,Euronext Amsterdam,EUR,NL0011872643
TELIA,TELIA COMPANY,Kommunikation,Aktien,"5.974.441,96","0,06","5.974.441,96","1.727.374,00","3,46",Schweden,Nasdaq Omx Nordic,SEK,SE0000667925
ADDT B,ADDTECH CLASS B,Industrie,Aktien,"5.915.442,87","0,06","5.915.442,87","198.006,00","29,88",Schweden,Nasdaq Omx Nordic,SEK,SE0014781795
HM B,HENNES & MAURITZ,Zyklische Konsumgüter ,Aktien,"5.910.653,53","0,06","5.910.653,53","368.085,00","16,06",Schweden,Nasdaq Omx Nordic,SEK,SE0000106270
TEL,TELENOR,Kommunikation,Aktien,"5.849.965,91","0,06","5.849.965,91","482.927,00","12,11",Norwegen,Oslo Bors Asa,NOK,NO0010063308
TEL2 B,TELE2 B,Kommunikation,Aktien,"5.828.181,42","0,06","5.828.181,42","427.367,00","13,64",Schweden,Nasdaq Omx Nordic,SEK,SE0005190238
PSON,PEARSON PLC,Zyklische Konsumgüter ,Aktien,"5.790.206,32","0,06","5.790.206,32","493.957,00","11,72",Vereinigtes Königreich,London Stock Exchange,GBP,GB0006776081
GAW,GAMES WORKSHOP GROUP PLC,Zyklische Konsumgüter ,Aktien,"5.751.844,88","0,06","5.751.844,88","25.557,00","225,06",Vereinigtes Königreich,London Stock Exchange,GBP,GB0003718474
MKS,MARKS AND SPENCER GROUP PLC,Nichtzyklische Konsumgüter,Aktien,"5.743.455,50","0,06","5.743.455,50","1.562.805,00","3,68",Vereinigtes Königreich,London Stock Exchange,GBP,GB0031274896
LI,KLEPIERRE REIT SA,Immobilien,Aktien,"5.739.901,60","0,06","5.739.901,60","174.997,00","32,80",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121964
RXL,REXEL SA,Industrie,Aktien,"5.715.824,32","0,06","5.715.824,32","173.417,00","32,96",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010451203
WISE,WISE PLC CLASS A,Financials,Aktien,"5.714.209,81","0,06","5.714.209,81","588.588,00","9,71",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BL9YR756
RNO,RENAULT SA,Zyklische Konsumgüter ,Aktien,"5.712.950,49","0,06","5.712.950,49","158.649,00","36,01",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000131906
UNI,UNIPOL ASSICURAZIONI SPA,Financials,Aktien,"5.649.136,49","0,06","5.649.136,49","290.743,00","19,43",Italien,Borsa Italiana,EUR,IT0004810054
BCP,BANCO COMERCIAL PORTUGUES SA,Financials,Aktien,"5.646.451,77","0,06","5.646.451,77","6.600.949,00","0,86",Portugal,Nyse Euronext - Euronext Lisbon,EUR,PTBCP0AM0015
IMI,IMI PLC,Industrie,Aktien,"5.611.524,54","0,06","5.611.524,54","201.331,00","27,87",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BGLP8L22
ABF,ASSOCIATED BRITISH FOODS PLC,Nichtzyklische Konsumgüter,Aktien,"5.585.920,21","0,06","5.585.920,21","229.204,00","24,37",Vereinigtes Königreich,London Stock Exchange,GBP,GB0006731235
MNG,M&G PLC,Financials,Aktien,"5.544.797,75","0,06","5.544.797,75","1.780.347,00","3,11",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BKFB1C65
TREL B,TRELLEBORG B,Industrie,Aktien,"5.473.864,04","0,06","5.473.864,04","152.335,00","35,93",Schweden,Nasdaq Omx Nordic,SEK,SE0000114837
BAB,BABCOCK INTERNATIONAL GROUP PLC,Industrie,Aktien,"5.474.550,94","0,06","5.474.550,94","395.104,00","13,86",Vereinigtes Königreich,London Stock Exchange,GBP,GB0009697037
ORK,ORKLA,Nichtzyklische Konsumgüter,Aktien,"5.387.161,51","0,06","5.387.161,51","584.258,00","9,22",Norwegen,Oslo Bors Asa,NOK,NO0003733800
HEIO,HEINEKEN HOLDING NV,Nichtzyklische Konsumgüter,Aktien,"5.384.839,80","0,06","5.384.839,80","89.598,00","60,10",Niederlande,Euronext Amsterdam,EUR,NL0000008977
LIFCO B,LIFCO CLASS B,Industrie,Aktien,"5.366.825,28","0,06","5.366.825,28","170.287,00","31,52",Schweden,Nasdaq Omx Nordic,SEK,SE0015949201
SOBI,SWEDISH ORPHAN BIOVITRUM,Gesundheitsversorgung,Aktien,"5.338.270,12","0,06","5.338.270,12","175.544,00","30,41",Schweden,Nasdaq Omx Nordic,SEK,SE0000872095
PNDORA,PANDORA,Zyklische Konsumgüter ,Aktien,"5.296.470,52","0,06","5.296.470,52","55.973,00","94,63",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060252690
ACLN,ACCELLERON N AG,Industrie,Aktien,"5.247.327,90","0,06","5.247.327,90","75.436,00","69,56",Schweiz,SIX Swiss Exchange,CHF,CH1169360919
TRYG,TRYG,Financials,Aktien,"5.230.763,94","0,06","5.230.763,94","244.652,00","21,38",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060636678
PSPN,PSP SWISS PROPERTY AG,Immobilien,Aktien,"5.215.317,46","0,06","5.215.317,46","34.860,00","149,61",Schweiz,SIX Swiss Exchange,CHF,CH0018294154
CON,CONTINENTAL AG,Zyklische Konsumgüter ,Aktien,"5.212.603,92","0,06","5.212.603,92","80.268,00","64,94",Deutschland,Xetra,EUR,DE0005439004
PAH3,PORSCHE AUTOMOBIL HOLDING PREF,Zyklische Konsumgüter ,Aktien,"5.204.072,10","0,06","5.204.072,10","127.770,00","40,73",Deutschland,Xetra,EUR,DE000PAH0038
ERF,EUROFINS SCIENTIFIC,Gesundheitsversorgung,Aktien,"5.192.890,04","0,06","5.192.890,04","90.374,00","57,46",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0014000MR3
