Emittententicker,Name,ISIN
PUIG,PUIG BRANDS SA CLASS B,ES0105777017
BAVA,BAVARIAN NORDIC,DK0015998017
MF,WENDEL,FR0000121204
SOP,SOPRA STERIA GROUP,FR0000050809
SFSN,SFS GROUP AG,CH0239229302
DKSH,DKSH HOLDING AG,CH0126673539
SDF,K+S AG,DE000KSAG888
HIAB,HIAB CORPORATION CLASS B,FI4000571013
NOD,NORDIC SEMICONDUCTOR,NO0003055501
HPOL B,HEXPOL CLASS B,SE0007074281
BAKKA,BAKKAFROST,FO0000000179
WALL B,WALLENSTAM CLASS B,SE0017780133
AMP,AMPLIFON,IT0004056880
TECN,TECAN GROUP AG,CH0012100191
DLN,DERWENT LONDON REIT PLC,GB0002652740
BME,B&M EUROPEAN VALUE RETAIL SA,LU1072616219
AZE,AZELIS GROUP NV,BE0974400328
KINV B,KINNEVIK CLASS B,SE0022060521
LXS,LANXESS AG,DE0005470405
OCDO,OCADO GROUP PLC,GB00B3MBS747
TATE,TATE AND LYLE PLC,GB00BP92CJ43
DIA,DIASORIN,IT0003492391
SK,SEB SA,FR0000121709
HEM,HEMNET GROUP,SE0015671995
MTO,MITIE GROUP PLC,GB0004657408
SXS,SPECTRIS PLC,GB0003308607
