Emittententicker,Name,Börse,ISIN
BBY,BALFOUR BEATTY PLC,London Stock Exchange,GB0000961622
GET,GETLINK,Nyse Euronext - Euronext Paris,FR0010533075
SPL,SANTANDER BANK POLSKA SA,Warsaw Stock Exchange/Equities/Main Market,PLBZ00000044
BZU,BUZZI,Borsa Italiana,IT0001347308
EDEN,EDENRED,Nyse Euronext - Euronext Paris,FR0010908533
LHA,DEUTSCHE LUFTHANSA AG,Xetra,DE0008232125
ZEAL,ZEALAND PHARMA,Omx Nordic Exchange Copenhagen A/S,DK0060257814
AAK,AAK,Nasdaq Omx Nordic,SE0011337708
JYSK,JYSKE BANK,Omx Nordic Exchange Copenhagen A/S,DK0010307958
TE,TECHNIP ENERGIES NV,Nyse Euronext - Euronext Paris,NL0014559478
CTEC,CONVATEC GROUP PLC,London Stock Exchange,GB00BD3VFW73
ACKB,ACKERMANS & VAN HAAREN NV,Nyse Euronext - Euronext Brussels,BE0003764785
TKA,THYSSENKRUPP AG,Xetra,DE0007500001
NIBE B,NIBE INDUSTRIER CLASS B,Nasdaq Omx Nordic,SE0015988019
NEX,NEXANS SA,Nyse Euronext - Euronext Paris,FR0000044448
RED,REDEIA CORPORACION SA,Bolsa De Madrid,ES0173093024
RBI,RAIFFEISEN BANK INTERNATIONAL AG,Wiener Boerse Ag,AT0000606306
SAVE,NORDNET,Nasdaq Omx Nordic,SE0015192067
R3NK,RENK GROUP AG,Xetra,DE000RENK730
AZA,AVANZA BANK HOLDING,Nasdaq Omx Nordic,SE0012454072
TUB,FINANCIERE DE TUBIZE SA,Nyse Euronext - Euronext Brussels,BE0003823409
BKG,BERKELEY GROUP HOLDINGS (THE) PLC,London Stock Exchange,GB00BP0RGD03
VOE,VOESTALPINE AG,Wiener Boerse Ag,AT0000937503
SCR,SCOR,Nyse Euronext - Euronext Paris,FR0010411983
ELIS,ELIS SA,Nyse Euronext - Euronext Paris,FR0012435121
WDP,WAREHOUSES DE PAUW NV,Nyse Euronext - Euronext Brussels,BE0974349814
ANA,ACCIONA SA,Bolsa De Madrid,ES0125220311
AMUN,AMUNDI SA,Nyse Euronext - Euronext Paris,FR0004125920
GETI B,GETINGE B,Nasdaq Omx Nordic,SE0000202624
VALMT,VALMET,Nasdaq Omx Helsinki Ltd.,FI4000074984
LMP,LONDONMETRIC PROPERTY REIT PLC,London Stock Exchange,GB00B4WFW713
BALD B,FASTIGHETS BALDER CLASS B,Nasdaq Omx Nordic,SE0017832488
CAST,CASTELLUM,Nasdaq Omx Nordic,SE0000379190
VER,VERBUND AG,Wiener Boerse Ag,AT0000746409
SDR,SCHRODERS PLC,London Stock Exchange,GB00BP9LHF23
SOF,SOFINA SA,Nyse Euronext - Euronext Brussels,BE0003717312
GF,GEORG FISCHER AG,SIX Swiss Exchange,CH1169151003
ABDN,ABERDEEN GROUP PLC,London Stock Exchange,GB00BF8Q6K64
SUBC,SUBSEA SA,Oslo Bors Asa,LU0075646355
TW.,TAYLOR WIMPEY PLC,London Stock Exchange,GB0008782301
TEMN,TEMENOS AG,SIX Swiss Exchange,CH0012453913
SAGA B,SAGAX CLASS B,Nasdaq Omx Nordic,SE0005127818
HAG,HENSOLDT AG,Xetra,DE000HAG0005
ALK B,ALK-ABELLO CLASS B,Omx Nordic Exchange Copenhagen A/S,DK0061802139
SYDB,SYDBANK,Omx Nordic Exchange Copenhagen A/S,DK0010311471
BMED,BANCA MEDIOLANUM,Borsa Italiana,IT0004776628
EMSN,EMS-CHEMIE HOLDING AG,SIX Swiss Exchange,CH0016440353
CRDA,CRODA INTERNATIONAL PLC,London Stock Exchange,GB00BJFFLV09
SECT B,SECTRA CLASS B,Nasdaq Omx Nordic,SE0022419784
IDR,INDRA SISTEMAS SA,Bolsa De Madrid,ES0118594417
ANDR,ANDRITZ AG,Wiener Boerse Ag,AT0000730007
SW,SODEXO SA,Nyse Euronext - Euronext Paris,FR0000121220
ADEN,ADECCO GROUP AG,SIX Swiss Exchange,CH0012138605
A2A,A2A,Borsa Italiana,IT0001233417
SSAB B,SSAB CLASS B,Nasdaq Omx Nordic,SE0000120669
IP,INTERPUMP GROUP,Borsa Italiana,IT0001078911
CDR,CD PROJEKT SA,Warsaw Stock Exchange/Equities/Main Market,PLOPTTC00011
DHER,DELIVERY HERO,Xetra,DE000A2E4K43
MNDI,MONDI PLC,London Stock Exchange,GB00BMWC6P49
JMAT,JOHNSON MATTHEY PLC,London Stock Exchange,GB00BZ4BQC70
SALM,SALMAR,Oslo Bors Asa,NO0010310956
LAGR B,LAGERCRANTZ GROUP CLASS B,Nasdaq Omx Nordic,SE0014990966
GFC,GECINA SA,Nyse Euronext - Euronext Paris,FR0010040865
AZM,AZIMUT HOLDING,Borsa Italiana,IT0003261697
CVC,CVC CAPITAL PARTNERS PLC,Euronext Amsterdam,JE00BRX98089
BKW,BKW N AG,SIX Swiss Exchange,CH0130293662
LUND B,LUNDBERGFORETAGEN CLASS B,Nasdaq Omx Nordic,SE0000108847
MAP,MAPFRE SA,Bolsa De Madrid,ES0124244E34
FNTN,FREENET AG,Xetra,DE000A0Z2ZZ5
ALLN,ALLREAL HOLDING AG,SIX Swiss Exchange,CH0008837566
BBOX,TRITAX BIG BOX REIT PLC,London Stock Exchange,GB00BG49KP99
EDPR,EDP RENOVAVEIS SA,Nyse Euronext - Euronext Lisbon,ES0127797019
BWY,BELLWAY PLC,London Stock Exchange,GB0000904986
WPP,WPP PLC,London Stock Exchange,JE00B8KF9B49
SB1NO,SPAREBANK SR-NORGE,Oslo Bors Asa,NO0010631567
HER,HERA,Borsa Italiana,IT0001250932
ITV,ITV PLC,London Stock Exchange,GB0033986497
TUI1,TUI N AG,Xetra,DE000TUAG505
IVG,IVECO GROUP NV,Borsa Italiana,NL0015000LU4
NTGY,NATURGY ENERGY GROUP SA,Bolsa De Madrid,ES0116870314
INCH,INCHCAPE PLC,London Stock Exchange,GB00B61TVQ02
BGEO,LION FINANCE GROUP PLC,London Stock Exchange,GB00BF4HYT85
RAND,RANDSTAD HOLDING,Euronext Amsterdam,NL0000379121
INVP,INVESTEC PLC,London Stock Exchange,GB00B17BBQ50
BC8,BECHTLE AG,Xetra,DE0005158703
ZEG,ZEGONA COMMUNICATIONS PLC,London Stock Exchange,GB00BVGBY890
BOL,BOLLORE,Nyse Euronext - Euronext Paris,FR0000039299
RAA,RATIONAL AG,Xetra,DE0007010803
CPR,DAVIDE CAMPARI MILANO NV,Borsa Italiana,NL0015435975
ENG,ENAGAS SA,Bolsa De Madrid,ES0130960018
SBMO,SBM OFFSHORE NV,Euronext Amsterdam,NL0000360618
BC,BRUNELLO CUCINELLI,Borsa Italiana,IT0004764699
NDX1,NORDEX,Xetra,DE000A0D6554
GRF,GRIFOLS SA CLASS A,Bolsa De Madrid,ES0171996087
SRP,SERCO GROUP PLC,London Stock Exchange,GB0007973794
LOTB,LOTUS BAKERIES NV,Nyse Euronext - Euronext Brussels,BE0003604155
SPM,SAIPEM,Borsa Italiana,IT0005495657
NDA,AURUBIS AG,Xetra,DE0006766504
EVK,EVONIK INDUSTRIES AG,Xetra,DE000EVNK013
AG1,AUTO1 GROUP,Xetra,DE000A2LQ884
SWEC B,SWECO CLASS B,Nasdaq Omx Nordic,SE0014960373
TEP,TELEPERFORMANCE,Nyse Euronext - Euronext Paris,FR0000051807
AKE,ARKEMA SA,Nyse Euronext - Euronext Paris,FR0010313833
PNN,PENNON GROUP PLC,London Stock Exchange,GB00BNNTLN49
AED,AEDIFICA NV,Nyse Euronext - Euronext Brussels,BE0003851681
BGN,BANCA GENERALI,Borsa Italiana,IT0001031084
GBF,BILFINGER,Xetra,DE0005909006
AYV,AYVENS SA,Nyse Euronext - Euronext Paris,FR0013258662
DRX,DRAX GROUP PLC,London Stock Exchange,GB00B1VNSX38
DIE,DIETEREN (D) SA,Nyse Euronext - Euronext Brussels,BE0974259880
COFB,COFINIMMO REIT SA,Nyse Euronext - Euronext Brussels,BE0003593044
WIE,WIENERBERGER AG,Wiener Boerse Ag,AT0000831706
ROR,ROTORK PLC,London Stock Exchange,GB00BVFNZH21
TEG,TAG IMMOBILIEN AG,Xetra,DE0008303504
SFZN,SIEGFRIED HOLDING AG,SIX Swiss Exchange,CH1429326825
LATO B,LATOUR INVESTMENT CLASS B,Nasdaq Omx Nordic,SE0010100958
CWK,CRANSWICK PLC,London Stock Exchange,GB0002318888
HUH1V,HUHTAMAKI,Nasdaq Omx Helsinki Ltd.,FI0009000459
SIGN,SIG GROUP N AG,SIX Swiss Exchange,CH0435377954
COV,COVIVIO SA,Nyse Euronext - Euronext Paris,FR0000064578
SUNN,SUNRISE N CLASS A AG,SIX Swiss Exchange,CH1386220409
MANTA,MANDATUM,Nasdaq Omx Helsinki Ltd.,FI4000552526
RUI,RUBIS,Nyse Euronext - Euronext Paris,FR0013269123
RS1,RS GROUP PLC,London Stock Exchange,GB0003096442
EMG,MAN GROUP PLC,London Stock Exchange,JE00BJ1DLW90
MYCR,MYCRONIC,Nasdaq Omx Nordic,SE0025158629
FDJU,FDJ UNITED,Nyse Euronext - Euronext Paris,FR0013451333
MBK,MBANK SA,Warsaw Stock Exchange/Equities/Main Market,PLBRE0000012
FRO,FRONTLINE,Oslo Bors Asa,CY0200352116
RBREW,ROYAL UNIBREW,Omx Nordic Exchange Copenhagen A/S,DK0060634707
ARCAD,ARCADIS NV,Euronext Amsterdam,NL0006237562
REY,REPLY,Borsa Italiana,IT0005282865
KBCA,KBC ANCORA NV,Nyse Euronext - Euronext Brussels,BE0003867844
CMBN,CEMBRA MONEY BANK LTD,SIX Swiss Exchange,CH0225173167
CCL,CARNIVAL PLC,London Stock Exchange,GB0031215220
DEMANT,DEMANT,Omx Nordic Exchange Copenhagen A/S,DK0060738599
RF,EURAZEO,Nyse Euronext - Euronext Paris,FR0000121121
HIK,HIKMA PHARMACEUTICALS PLC,London Stock Exchange,GB00B0LCW083
ROCK B,ROCKWOOL CLASS B,Omx Nordic Exchange Copenhagen A/S,DK0063855168
HOLM B,HOLMEN CLASS B,Nasdaq Omx Nordic,SE0011090018
BCVN,BC VAUD N,SIX Swiss Exchange,CH0531751755
GL9,GLANBIA PLC,Irish Stock Exchange - All Market,IE0000669501
FTK,FLATEXDEGIRO N AG,Xetra,DE000FTG1111
LIGHT,SIGNIFY NV,Euronext Amsterdam,NL0011821392
AALB,AALBERTS NV,Euronext Amsterdam,NL0000852564
BYG,BIG YELLOW GROUP PLC,London Stock Exchange,GB0002869419
NEXI,NEXI,Borsa Italiana,IT0005366767
ADP,AEROPORTS DE PARIS SA,Nyse Euronext - Euronext Paris,FR0010340141
PLUS,PLUS500 LTD,London Stock Exchange,IL0011284465
QQ.,QINETIQ GROUP PLC,London Stock Exchange,GB00B0WMWD03
SUN,SULZER AG,SIX Swiss Exchange,CH0038388911
INPST,INPOST SA,Euronext Amsterdam,LU2290522684
FPE3,FUCHS PREF,Xetra,DE000A3E5D64
UMI,UMICORE SA,Nyse Euronext - Euronext Brussels,BE0974320526
FRA,FRAPORT FRANKFURT AIRPORT SERVICES,Xetra,DE0005773303
INW,INFRASTRUTTURE WIRELESS ITALIANE,Borsa Italiana,IT0005090300
AXFO,AXFOOD,Nasdaq Omx Nordic,SE0006993770
VK,VALLOUREC SA,Nyse Euronext - Euronext Paris,FR0013506730
THULE,THULE GROUP,Nasdaq Omx Nordic,SE0006422390
ALLFG,ALLFUNDS GROUP PLC,Euronext Amsterdam,GB00BNTJ3546
VZN,VZ HOLDING AG,SIX Swiss Exchange,CH0528751586
PHP,PRIMARY HEALTH PROPERTIES REIT PLC,London Stock Exchange,GB00BYRJ5J14
SHC,SHAFTESBURY CAPITAL PLC,London Stock Exchange,GB00B62G9D36
VAR,VAR ENERGI,Oslo Bors Asa,NO0011202772
VIS,VISCOFAN SA,Bolsa De Madrid,ES0184262212
AMBU B,AMBU CLASS B,Omx Nordic Exchange Copenhagen A/S,DK0060946788
LOOMIS,LOOMIS CLASS B,Nasdaq Omx Nordic,SE0014504817
CDI,CHRISTIAN DIOR,Nyse Euronext - Euronext Paris,FR0000130403
UNI,UNICAJA BANCO SA,Bolsa De Madrid,ES0180907000
TOM,TOMRA SYSTEMS,Oslo Bors Asa,NO0012470089
FR,VALEO,Nyse Euronext - Euronext Paris,FR0013176526
UTG,UNITE GROUP PLC,London Stock Exchange,GB0006928617
KEMIRA,KEMIRA,Nasdaq Omx Helsinki Ltd.,FI0009004824
CAMX,CAMURUS,Nasdaq Omx Nordic,SE0007692850
TCAP,TP ICAP GROUP PLC,London Stock Exchange,JE00BMDZN391
VTY,VISTRY GROUP PLC,London Stock Exchange,GB0001859296
VID,VIDRALA SA,Bolsa De Madrid,ES0183746314
FLS,FLSMIDTH AND CO CLASS B,Omx Nordic Exchange Copenhagen A/S,DK0010234467
MOBN,MOBIMO HOLDING AG,SIX Swiss Exchange,CH0011108872
JD.,JD SPORTS FASHION PLC,London Stock Exchange,GB00BM8Q5M07
BUCN,BUCHER INDUSTRIES AG,SIX Swiss Exchange,CH0002432174
BPT,BRIDGEPOINT GROUP PLC,London Stock Exchange,GB00BND88V85
VPK,KONINKLIJKE VOPAK NV,Euronext Amsterdam,NL0009432491
TBCG,TBC BANK GROUP PLC,London Stock Exchange,GB00BYT18307
GFTU,GRAFTON GROUP PLC,London Stock Exchange,IE00B00MZ448
WIHL,WIHLBORGS FASTIGHETER,Nasdaq Omx Nordic,SE0018012635
EZJ,EASYJET PLC,London Stock Exchange,GB00B7KR2P84
SCT,SOFTCAT PLC,London Stock Exchange,GB00BYZDVK82
MF,WENDEL,Nyse Euronext - Euronext Paris,FR0000121204
ATE,ALTEN SA,Nyse Euronext - Euronext Paris,FR0000071946
TECN,TECAN GROUP AG,SIX Swiss Exchange,CH0012100191
DKSH,DKSH HOLDING AG,SIX Swiss Exchange,CH0126673539
BAVA,BAVARIAN NORDIC,Omx Nordic Exchange Copenhagen A/S,DK0015998017
AMV0,AUMOVIO N,Xetra,DE000AUM0V10
NOD,NORDIC SEMICONDUCTOR,Oslo Bors Asa,NO0003055501
GRG,GREGGS PLC,London Stock Exchange,GB00B63QSB39
PUIG,PUIG BRANDS SA CLASS B,Bolsa De Madrid,ES0105777017
SDF,K S N AG,Xetra,DE000KSAG888
BME,B&M EUROPEAN VALUE RETAIL SA,London Stock Exchange,LU1072616219
WALL B,WALLENSTAM CLASS B,Nasdaq Omx Nordic,SE0017780133
HIAB,HIAB CORPORATION CLASS B,Nasdaq Omx Helsinki Ltd.,FI4000571013
SFSN,SFS GROUP AG,SIX Swiss Exchange,CH0239229302
CLN,CLARIANT AG,SIX Swiss Exchange,CH0012142631
SOP,SOPRA STERIA GROUP,Nyse Euronext - Euronext Paris,FR0000050809
HPOL B,HEXPOL CLASS B,Nasdaq Omx Nordic,SE0007074281
AZE,AZELIS GROUP NV,Nyse Euronext - Euronext Brussels,BE0974400328
DLN,DERWENT LONDON REIT PLC,London Stock Exchange,GB0002652740
AMP,AMPLIFON,Borsa Italiana,IT0004056880
PUM,PUMA,Xetra,DE0006969603
BAKKA,BAKKAFROST,Oslo Bors Asa,FO0000000179
KINV B,KINNEVIK CLASS B,Nasdaq Omx Nordic,SE0022060521
LXS,LANXESS AG,Xetra,DE0005470405
TATE,TATE AND LYLE PLC,London Stock Exchange,GB00BP92CJ43
DIA,DIASORIN,Borsa Italiana,IT0003492391
SK,SEB SA,Nyse Euronext - Euronext Paris,FR0000121709
HEM,HEMNET GROUP,Nasdaq Omx Nordic,SE0015671995
OCDO,OCADO GROUP PLC,London Stock Exchange,GB00B3MBS747
VIS.D,"DERECHOS VISCOFAN, S.A. SA",Bolsa De Madrid,ES0684262944
